計畫年度,主持人姓名,執行機關,內容
113,Alex,東海大學永續科學與管理學士學位學程,"計畫名稱：循環解決方案用於台灣市政和農業廢水以及城市排水中的磷收集和回收，以提升水資源和糧食安全成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,023,000元(各年度經費明細)計畫概述：Global attention on the need for phosphorus (P) removal, recovery, and re-use has increased. Our...(詳)中文關鍵字：循環經濟、磷去除和回收、廢水、水膠、可持續肥料英文關鍵字：Circular economy, Phosphorus removal and recovery, Wastewater, Hydrogels, Sustainable fertilizer中文摘要：磷（P）排放是人類活動導致的一種重要的營養物過度和水資源損害的因素。作為
肥料的重要組成部分，磷在全球糧食供應中發揮著至關重要的作用，對人類、動物
和植物的生命不可或缺。然而，磷酸鹽岩石的...(詳)英文摘要：Phosphorus (P) discharges resulting from human activities are acknowledged as a significant contributor to nutrient enrichment and impairment of water resources. As a vital component of fertilizer...(詳)"
113,Ardila,國立臺北科技大學化學工程與生物科技系(所),"計畫名稱：用於二氧化碳捕獲的高容量、低成本低共熔溶劑並增強其在生物燃料轉化中的應用成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,300,000元(各年度經費明細)計畫概述：In this project, there are potential contribution for industries and academics as follows.
For ...(詳)中文關鍵字：二氧化碳捕集、深共晶溶劑、密度、氣液平衡、熱力學模型英文關鍵字：CO2 capture; deep eutectic solvent; density; vapor-liquid equilibria; thermodynamic models中文摘要：二氧化碳（CO₂）排放問題日益嚴重，隨著溫室氣體濃度不斷上升，氣候變遷問題已日漸嚴峻。因此，二氧化碳捕集技術成為減少大氣中二氧化碳濃度的主要研究方向。目前，二氧化碳捕集技術面臨高成本與高能耗的...(詳)英文摘要：The emission of carbon dioxide (CO2) has become more serious, and increasing greenhouse gases have caused climate problems. Therefore, CO2 capture is a main research direction to reduce the amount...(詳)"
113,Au Tang,朝陽科技大學行銷與流通管理系,"計畫名稱：風暴中的權衡舉措：於不確定性下道德領導在CSR美德與不道德誘惑之間走鋼索--跨文化比較與混合方法研究成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：539,000元(各年度經費明細)計畫概述：Year 1: We meticulously craft a comprehensive literature review and conduct on a nationwide surv...(詳)中文關鍵字：道德領導，CSR歸因，幸福感，環境不確定性，權力距離，組織公民行為，不道德的親組織行為；社會認知理論，跨文化研究，混合方法分析英文關鍵字：Ethical leadership; CSR attributions; Well-being; Environmental uncertainty; Organizational citizenship behavior; Unethical pro-organizational behavior; Social Cognitive Theory; Cross-cultural study.中文摘要：目的：在当今充满不确定性且竞争激烈的商业环境中，组织必须在追求短期绩效与长期永续发展之间取得平衡。这一双重挑战要求领导者在实现绩效目标的同时，仍须坚守伦理标准。基于社会认知理论（Social ...(詳)英文摘要：Purpose: In today’s uncertain and highly competitive business environment, organizations must balance short-term performance with long-term sustainability. This dual challenge compels leaders to u...(詳)"
113,Bibo,東海大學工學院,"計畫名稱：優化程序參數以實現節能和經濟效益的共同煙熏和微波輔助骨炭生產：碳封存和污水處理的統計和機器學習方法成果報告：執行起迄：2024/02/01~2025/01/31總核定金額：798,000元(各年度經費明細)計畫概述：The primary component of bone biomass is hydroxyapatite, which may have the capacity to absorb c...(詳)中文關鍵字：共焙燒骨炭；二氧化碳封存；製程優化；砷吸附機制；節能型吸附劑；廢水處理英文關鍵字：Co-torrefied bone char; Carbon dioxide sequestration; Optimization; Arsenic sorption mechanism; Energy-efficient absorbent; Wastewater treatment.中文摘要：本研究旨在探討骨炭在共焙燒（co-torrefaction）與共熱解（co-pyrolysis）過程中的物理化學轉變。此外，研究亦分析骨炭與生質物共焙燒過程中的碳封存機制，並優化共焙燒的製程參...(詳)英文摘要：This study aimed to investigate the physicochemical transformations of bone char through both co-torrefaction and co-pyrolysis processes. Additionally, it aimed to analyze the carbon sequestration...(詳)"
113,Dana Elizabeth Powell,臺北醫學大學醫學人文研究所,"計畫名稱：能源生態學：布農族（臺灣卓溪鄉）和倫比族（美國北卡羅來納州羅伯森縣）之永續性經驗實徵比較研究成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：2,356,000元(各年度經費明細)計畫概述：The broad objective of this transnational, comparative study is to enhance scholarly and societa...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Derek,亞蔬－世界蔬菜中心,"計畫名稱：針對地中海盆地、印度和東南亞之豆類金黃嵌紋病毒屬病毒(begomoviruses)，鑑定Ty基因組以研發具廣效及持久抗性之番茄品系(4/4)成果報告：執行起迄：2024/02/01~2025/01/31總核定金額：2,430,000元(各年度經費明細)計畫概述：該項目的總體目標為研擬育種策略和改良番茄品系，以管理在地中海盆地、南亞和東南亞之侵略性begomoviruses病毒。番茄具高經濟價值及營養豐富的重要作物。若無抗病品種，早期感染會造成產量損失...(詳)中文關鍵字：豆類金黃嵌紋病毒、番茄黃化捲葉病毒病、新德里番茄捲葉病毒、抗病性、基因堆疊英文關鍵字：Begomovirus, TYLCD, Tomato leaf curl New Delhi Virus, disease resistance, gene pyramiding中文摘要：由豆類金黃嵌紋病毒引起的番茄黃化捲葉病毒病(TYLCD)是熱帶和亞熱帶地區番茄生產的主要限制因素。番茄具五個調節 TYLCD 抗性的主要基因(Ty)，應用基因堆疊，將不同的Ty基因累加至同一番...(詳)英文摘要：Tomato yellow leaf curl diseases (TYLCD), caused by begomoviruses, are among the most significant constraints to tomato production in tropical and subtropical regions. Resistance to TYLCD is avail...(詳)"
113,Devesh Barshilia,國立中正大學前瞻製造系統頂尖研究中心,"計畫名稱：發展金屬光子晶體光學生物感測器以實現高靈敏度、快速、低成本生物感測成果報告：執行起迄：2024/02/01~2025/07/31總核定金額：1,166,000元(各年度經費明細)計畫概述：(1) Academic impact: Development of low cost highly sensitive MPC foster scientific advancements...(詳)中文關鍵字：快速診斷、2D光子晶體生物感測器、金屬光子晶體生物感測器、光流控生物感測器、深度學習、生物感測、RI感測英文關鍵字：Rapid diagnosis, 2D photonic crystal biosensors, metallic photonic crystal biosensors, optofluidic biosensors, deep learning, biosensing, RI sensing中文摘要：在本研究提案中，我們旨在開發低成本、超高靈敏度和快速檢測的新型金屬光子晶體 (MPC) 生物感測器。透過在波導模式和粒子等離子體共振之間建立穩固的連接，有望實現高性能生物感測，為早期準確識別各...(詳)英文摘要：In this research proposal, we aim to develop novel metallic photonic crystal (MPC) biosensors with low-cost, exceptionally high sensitivity, and rapid detection. By establishing a robust connectio...(詳)"
113,Dimitrios,國立中山大學物理學系（所）,"計畫名稱：強耦合物質狀態在規範/重力對偶理論下的時間演化(4/5)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/02/01~2026/07/31總核定金額：2,736,000元(各年度經費明細)計畫概述：To increase awareness for a very new fast developing research area of high energy physics which ...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Harekrushna Behera,國立臺灣海洋大學海洋工程科技中心,"計畫名稱：各種波浪能轉換器及其他海洋結構的模擬與水動力分析成果報告：未達繳交期限執行起迄：2024/11/01~2026/03/31總核定金額：803,000元(各年度經費明細)計畫概述：The main objective of this proposal is to develop models and simulations for various offshore st...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Hyeonseok Lee,國立中山大學光電工程學系,"計畫名稱：透過電化學氫化技術和 ZnIn2S4 助催化劑製備高功能且透明的 SnO2基奈米複合材料於光催化 CO2 轉化為太陽能燃料之應用成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：2,393,000元(各年度經費明細)計畫概述：Our project is to develop an extraordinarily efficient, precisely selective, and highly long-ter...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Ihsan Ullah,元智大學資訊工程學系（所）,"計畫名稱：使用元深度強化學習和圖注意網路的邊緣雲網路動態資源最佳化成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：906,000元(各年度經費明細)計畫概述：1. Investigate and develop novel methodologies combining Graph Convolutional Networks (GCNs), Me...(詳)中文關鍵字：边缘计算、云计算、软件定义网络（SDN）、深度强化学习（DRL）、近端策略优化（PPO）、双重深度Q网络（Double-DQN）、优势加权演员评论家算法（AWAC）、图注意网络（GAT）、图卷积网络（GCN）、分层强化学习、任务卸载、资源分配、延迟优化、基于图的学习、虚拟网络嵌入、车载网络、金融交易、台湾加权指数（TAIEX）、多智能体系统、仿真、拓扑感知路由、元学习英文關鍵字：Edge Computing, Cloud Computing, SDN, DRL, PPO, Double-DQN, AWAC, GAT, GCN, Hierarchical RL, Task Offloading, Resource Allocation, Latency Optimization, Graph-Based Learning, Virtual Network Embedding, Vehicular Networks, Financial Trading, TAIEX, Multi-Agent Systems, Simulation, Topology-Aware Routing, Meta-Learning中文摘要：本项目题为《基于元深度强化学习与图注意网络的边缘云网络动态资源优化》，旨在应对边缘云环境中对智能化、可扩展资源管理日益增长的需求。随着自动驾驶、智慧城市及金融系统等应用对低延迟、高效率计算的要...(詳)英文摘要：This project, titled “Dynamic Resource Optimization in Edge Cloud Networks using Meta-Deep Reinforcement Learning and Graph Attention Networks,” addresses the growing need for intelligent, scalabl...(詳)"
113,Jeffrey M. Farrell,國立臺灣大學化學系暨研究所,"計畫名稱：利用延伸π共軛環化實現功能性硼摻雜π系統成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：9,210,000元(各年度經費明細)計畫概述：Humanity faces escalating technological and energy needs while combating climate change. Therefo...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Ken Fujiwara,國立中正大學心理學系,"計畫名稱：雙人間的創造力：互動性同步之作用成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：2,336,000元(各年度經費明細)計畫概述：Creativity is the capability to provide a novel and appropriate solution, which is believed to b...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Kentaro Nishida,國立臺灣大學物理學系暨研究所,"計畫名稱：碳化矽半導體缺陷檢測超解析光學顯微鏡技術的發展成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：600,000元(各年度經費明細)計畫概述：在這項研究中，我將開發超解析度光學成像技術來觀察半導體缺陷。 儘管超解析度技術已為生物醫學成像帶來了重大突破，但尚未被做為觀察半導體材料的工具。 因此，我的研究具有彌合跨學科領域的意義，為半導...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,"Klicek, Tamara",國立臺北大學城市治理英語碩士學位學程,"計畫名稱：通過學術外交作為軟實力來增強台灣的高等教育旅遊成果報告：未達繳交期限執行起迄：2024/11/01~2025/12/31總核定金額：565,000元(各年度經費明細)計畫概述：The primary objective of this research is to explore and understand how academic diplomacy can e...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,Lucas Lane,臺北醫學大學生物醫學工程學系,"計畫名稱：超靈敏和特異性鑑定再生醫學中潛在致畸未分化 iPSC 的奈米生物感測方法成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,371,000元(各年度經費明細)計畫概述：Academically, the work can demonstrate how theoretical considerations of electromagnetic field e...(詳)中文關鍵字：SERS 檢測、再生醫學、iPSC、SERS 探針、細胞療法英文關鍵字：SERS assay, regenerative medicine, iPSCs, SERS probes, cell therapy中文摘要：誘導多能幹細胞 (iPSC) 技術的最新進展表明，在再生醫學中使用 iPSC 越來越成爲現實。  然而，iPSC 的臨牀進展仍然存在障礙。  主要問題是用於移植的細胞產品的安全性。  特別是，...(詳)英文摘要：Recent advancements in induced pluripotent stem cell (iPSC) technologies indicate that using iPSCs in regenerative medicine is increasingly becoming a reality. However, obstacles remain that hinde...(詳)"
